DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20210109,060000,40244.6100000,40615.0900000,39521.0000000,40023.7200000,923
20210109,070000,40018.4400000,40423.1500000,39764.9400000,40264.2900000,382
20210109,080000,40257.0100000,40535.0000000,39868.0100000,40253.3100000,523
20210109,090000,40251.0100000,40251.0100000,39200.1100000,39352.3600000,846
20210109,100000,39346.9500000,39666.7000000,38900.5000000,39032.2800000,1082
20210109,110000,39026.9200000,39705.0000000,38800.0000000,39665.9900000,662
20210109,120000,39665.9900000,40300.0000000,39327.6500000,40214.9100000,478
20210109,130000,40215.0000000,40807.9900000,40215.0000000,40365.4700000,406
20210109,140000,40377.2100000,40800.0000000,40149.5200000,40426.7900000,260
20210109,150000,40426.7800000,41269.6900000,40300.0100000,40628.3200000,579
20210109,160000,40633.5400000,40988.4900000,40451.2600000,40916.5600000,288
20210109,170000,40916.5500000,41275.4700000,40750.0000000,41130.9600000,526
20210109,180000,41126.6000000,41406.9400000,40782.0900000,40897.1400000,673
20210109,190000,40897.1100000,41027.3400000,40300.0000000,40620.0200000,529
20210109,200000,40625.9000000,40735.1200000,40007.0000000,40113.8900000,442
20210109,210000,40102.2200000,40667.9800000,40093.2000000,40507.3800000,493
20210109,220000,40507.3800000,40889.9900000,40507.3800000,40725.2500000,543
20210109,230000,40725.2500000,40965.0000000,40563.0500000,40749.9900000,496
20210110,000000,40749.9900000,40864.2500000,40146.4100000,40749.9400000,685
20210110,010000,40738.7200000,40890.0000000,40600.9800000,40860.1600000,590
20210110,020000,40864.4600000,40885.8000000,40282.2900000,40453.4000000,351
20210110,030000,40453.4000000,40582.7600000,40100.0000000,40257.4300000,560
20210110,040000,40257.4300000,40837.5300000,40253.3900000,40685.8800000,539
20210110,050000,40685.8800000,41452.1200000,40562.9600000,41235.4800000,908
20210110,060000,41235.4800000,41235.4800000,40947.3900000,41082.2000000,309
20210110,070000,41084.4700000,41132.0100000,40411.6600000,40481.5000000,611
20210110,080000,40481.4900000,40750.0000000,40205.0000000,40480.0900000,448
20210110,090000,40480.0900000,40759.0000000,40401.0000000,40571.1200000,215
20210110,100000,40572.9200000,41186.7600000,40500.0000000,41021.6600000,297
20210110,110000,41021.6600000,41186.2900000,40812.9300000,41090.0100000,313
20210110,120000,41090.0200000,41136.5100000,40662.1500000,40908.5900000,322
20210110,130000,40908.5900000,41136.0000000,40800.0000000,40831.9500000,318
20210110,140000,40839.1400000,40923.0000000,40055.0000000,40505.4400000,601
20210110,150000,40509.0300000,40511.2000000,38999.0000000,39233.9400000,1192
20210110,160000,39233.3800000,39850.0000000,38582.0000000,39632.7400000,864
20210110,170000,39629.9400000,40164.6700000,39510.1600000,39851.5600000,508
20210110,180000,39863.2600000,39907.3100000,39307.0000000,39504.1400000,534
20210110,190000,39501.3000000,39979.1800000,39134.6600000,39716.7900000,340
20210110,200000,39715.8900000,39797.9200000,39054.5900000,39294.2600000,517
20210110,210000,39290.2500000,39424.0100000,37211.0000000,38653.5300000,2963
20210110,220000,38653.5200000,38819.6600000,37700.0000000,38109.1300000,1122
20210110,230000,38109.1300000,38546.2400000,36675.2500000,37363.2600000,1410
20210111,000000,37363.2500000,37760.0000000,34444.0000000,37738.5400000,5830
20210111,010000,37728.0000000,38250.0000000,37501.0000000,38048.9400000,1847
20210111,020000,38048.8700000,39071.1300000,37850.0200000,38449.9900000,1009
20210111,030000,38449.9500000,38684.4200000,37920.3400000,38171.5700000,1006
20210111,040000,38168.8900000,38273.8800000,36000.0000000,37211.9300000,2212
20210111,050000,37215.6900000,37799.1000000,36666.0600000,37233.5600000,1033
20210111,060000,37233.4800000,37383.6000000,36050.0000000,36317.8900000,1736
20210111,070000,36317.2600000,36643.2700000,33333.3400000,35419.8500000,5895
20210111,080000,35408.6700000,36000.0000000,34269.0000000,35495.0500000,3015
20210111,090000,35528.3300000,35914.8600000,34439.0000000,34847.1700000,1457
20210111,100000,34848.6700000,34848.6700000,32265.0000000,32618.1800000,2801
20210111,110000,32620.6400000,34741.8500000,32272.6500000,34333.3600000,2303
20210111,120000,34333.3900000,35876.8200000,34050.0000000,35419.8200000,1274
20210111,130000,35419.8200000,35734.6800000,34843.7500000,35734.6700000,537
20210111,140000,35734.6800000,36342.5200000,35225.8900000,35363.4000000,951
20210111,150000,35357.1000000,35458.7200000,34000.0000000,34114.7600000,1027
20210111,160000,34113.0000000,35094.3100000,33205.0000000,34200.0000000,1208
20210111,170000,34216.5700000,34382.7700000,32229.9700000,32691.3700000,2096
20210111,180000,32688.2000000,33799.0000000,30251.5500000,33262.3100000,4418
20210111,190000,33268.1600000,33695.5200000,31308.0700000,31500.0300000,3388
20210111,200000,31500.0000000,32163.2700000,30100.0000000,31725.8800000,4295
20210111,210000,31725.8800000,33627.6200000,30579.5800000,32815.1700000,3539
20210111,220000,32822.0400000,33295.0200000,32429.3400000,32583.1000000,1599
20210111,230000,32575.0100000,32726.2100000,31162.1300000,32226.8400000,2162
20210112,000000,32217.7500000,33449.0000000,31374.5000000,33395.3300000,2190
20210112,010000,33388.7100000,34500.0000000,33029.6500000,33958.5000000,2579
20210112,020000,33966.3700000,34948.2500000,33666.0000000,34424.8900000,1817
20210112,030000,34415.3800000,35682.0000000,34415.3800000,35452.5900000,3293
