TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
GDAX.BTC-USD,30,20200104,003000,7308.2500000,7326.8500000,7296.4100000,7320.0000000,138
GDAX.BTC-USD,30,20200104,010000,7319.9900000,7320.0000000,7259.0000000,7269.3000000,326
GDAX.BTC-USD,30,20200104,013000,7269.3000000,7298.0000000,7259.0000000,7264.2700000,204
GDAX.BTC-USD,30,20200104,020000,7263.1900000,7309.7500000,7250.0000000,7294.7200000,277
GDAX.BTC-USD,30,20200104,023000,7293.9000000,7329.9900000,7288.9900000,7328.1200000,182
GDAX.BTC-USD,30,20200104,030000,7328.1100000,7334.4500000,7308.0700000,7334.4500000,163
GDAX.BTC-USD,30,20200104,033000,7334.4500000,7339.9900000,7304.7400000,7308.7300000,125
GDAX.BTC-USD,30,20200104,040000,7308.7300000,7308.7300000,7284.1500000,7302.4400000,98
GDAX.BTC-USD,30,20200104,043000,7302.4300000,7302.4300000,7277.3400000,7296.4300000,97
GDAX.BTC-USD,30,20200104,050000,7296.4200000,7304.5500000,7287.7600000,7303.0700000,92
GDAX.BTC-USD,30,20200104,053000,7303.0700000,7306.0100000,7292.5600000,7298.1500000,53
GDAX.BTC-USD,30,20200104,060000,7299.0500000,7320.9800000,7290.0900000,7320.6800000,46
GDAX.BTC-USD,30,20200104,063000,7320.6800000,7332.8900000,7312.7900000,7312.7900000,67
GDAX.BTC-USD,30,20200104,070000,7312.7900000,7327.5500000,7311.2900000,7323.5700000,80
GDAX.BTC-USD,30,20200104,073000,7323.6000000,7323.6000000,7302.7800000,7315.6200000,48
GDAX.BTC-USD,30,20200104,080000,7315.6200000,7330.0000000,7315.6100000,7326.9700000,40
GDAX.BTC-USD,30,20200104,083000,7326.8600000,7339.9900000,7320.0000000,7339.2100000,57
GDAX.BTC-USD,30,20200104,090000,7338.5900000,7359.9900000,7331.5500000,7333.9400000,154
GDAX.BTC-USD,30,20200104,093000,7333.9500000,7354.7200000,7330.5700000,7352.5400000,51
GDAX.BTC-USD,30,20200104,100000,7352.5400000,7352.6800000,7332.6500000,7349.5400000,63
GDAX.BTC-USD,30,20200104,103000,7349.5400000,7354.9800000,7323.5900000,7323.5900000,50
GDAX.BTC-USD,30,20200104,110000,7324.4500000,7348.4400000,7322.2700000,7343.1600000,38
GDAX.BTC-USD,30,20200104,113000,7343.1600000,7343.1700000,7327.1600000,7339.7600000,54
GDAX.BTC-USD,30,20200104,120000,7339.7500000,7352.0400000,7339.1300000,7339.1300000,41
GDAX.BTC-USD,30,20200104,123000,7339.1300000,7339.9600000,7332.1400000,7334.8900000,28
GDAX.BTC-USD,30,20200104,130000,7334.8900000,7355.2300000,7334.8800000,7351.6700000,71
GDAX.BTC-USD,30,20200104,133000,7351.6700000,7357.3900000,7342.1900000,7355.0800000,24
GDAX.BTC-USD,30,20200104,140000,7355.0800000,7355.0800000,7296.8100000,7304.7400000,69
GDAX.BTC-USD,30,20200104,143000,7304.1100000,7322.8800000,7292.0200000,7313.7400000,38
GDAX.BTC-USD,30,20200104,150000,7313.7300000,7328.7400000,7310.4700000,7326.6100000,15
GDAX.BTC-USD,30,20200104,153000,7326.6100000,7328.1800000,7311.3300000,7319.1400000,19
GDAX.BTC-USD,30,20200104,160000,7319.0900000,7321.7300000,7295.0000000,7299.9400000,55
GDAX.BTC-USD,30,20200104,163000,7299.9500000,7312.5400000,7295.5000000,7303.2400000,33
GDAX.BTC-USD,30,20200104,170000,7302.3400000,7302.8700000,7280.5000000,7287.8500000,113
GDAX.BTC-USD,30,20200104,173000,7287.8300000,7303.3100000,7281.9000000,7296.9000000,71
GDAX.BTC-USD,30,20200104,180000,7296.9000000,7310.7500000,7295.4400000,7304.8500000,47
GDAX.BTC-USD,30,20200104,183000,7304.8600000,7317.5800000,7293.6000000,7314.3000000,80
GDAX.BTC-USD,30,20200104,190000,7314.0700000,7316.1800000,7302.6200000,7306.1100000,96
GDAX.BTC-USD,30,20200104,193000,7306.1200000,7313.7900000,7294.1400000,7298.8000000,55
GDAX.BTC-USD,30,20200104,200000,7298.7900000,7304.3300000,7285.0200000,7297.6500000,95
GDAX.BTC-USD,30,20200104,203000,7297.6400000,7312.7300000,7295.7500000,7311.6800000,50
GDAX.BTC-USD,30,20200104,210000,7311.6800000,7339.3100000,7311.6700000,7339.3000000,132
GDAX.BTC-USD,30,20200104,213000,7339.3100000,7345.0000000,7326.5600000,7342.0000000,109
GDAX.BTC-USD,30,20200104,220000,7342.0000000,7398.0000000,7263.3200000,7291.4200000,954
GDAX.BTC-USD,30,20200104,223000,7291.4100000,7314.0000000,7275.0100000,7306.5400000,164
GDAX.BTC-USD,30,20200104,230000,7306.4900000,7342.7500000,7302.3700000,7322.5400000,249
GDAX.BTC-USD,30,20200104,233000,7324.2000000,7337.8500000,7304.4300000,7327.1700000,203
GDAX.BTC-USD,30,20200105,000000,7327.1800000,7339.7800000,7323.9300000,7333.0100000,70
GDAX.BTC-USD,30,20200105,003000,7333.0100000,7341.0400000,7322.2300000,7341.0400000,80
GDAX.BTC-USD,30,20200105,010000,7341.0400000,7358.5100000,7338.3500000,7344.8400000,185
GDAX.BTC-USD,30,20200105,013000,7343.9800000,7345.4700000,7334.0900000,7340.7200000,56
GDAX.BTC-USD,30,20200105,020000,7340.3100000,7354.2300000,7337.0000000,7346.3700000,110
GDAX.BTC-USD,30,20200105,023000,7346.3800000,7350.0000000,7326.6900000,7330.7200000,141
GDAX.BTC-USD,30,20200105,030000,7330.7200000,7349.6500000,7326.7000000,7348.6300000,52
GDAX.BTC-USD,30,20200105,033000,7348.6300000,7384.3700000,7348.6200000,7377.3500000,259
GDAX.BTC-USD,30,20200105,040000,7377.3500000,7377.5000000,7355.4000000,7368.9400000,95
GDAX.BTC-USD,30,20200105,043000,7368.7500000,7462.8600000,7368.7500000,7457.7000000,810
GDAX.BTC-USD,30,20200105,050000,7454.7700000,7471.5200000,7423.0700000,7451.0100000,375
